"X5000","X5000.1","X0.01","X0.125","X1","X1.1","X1.2","X1.3","X1e.04"
"246",3000,7000,0.5,1,1,1,1,1,1e-04
"247",3000,7000,0.5,1.125,0,0,0,0,1e-04
"248",3000,7000,0.5,1.25,1,1,1,1,1e-04
"249",3000,7000,0.5,1.375,1,1,1,1,1e-04
"250",3000,7000,0.5,1.5,1,1,1,1,1e-04
"251",3000,7000,0.5,1.75,1,1,1,1,1e-04
"252",3000,7000,0.5,2,1,1,1,1,1e-04
"253",3000,7000,0.5,3,1,1,1,1,1e-04
"254",3000,7000,0.5,4,1,1,1,1,1e-04
"255",3000,7000,0.5,5,1,1,1,1,1e-04
"256",2000,8000,0.01,0.125,0,0,0,0,1e-04
"257",2000,8000,0.01,0.25,1,1,1,1,1e-04
"258",2000,8000,0.01,0.375,1,1,1,1,1e-04
"259",2000,8000,0.01,0.5,0,0,0,0,1e-04
"260",2000,8000,0.01,0.625,0,0,0,0,1e-04
"261",2000,8000,0.01,0.75,0,0,0,0,1e-04
"262",2000,8000,0.01,0.875,0,0,0,0,1e-04
"263",2000,8000,0.01,1,0,0,0,0,1e-04
"264",2000,8000,0.01,1.125,0,0,0,0,1e-04
"265",2000,8000,0.01,1.25,0,0,0,0,1e-04
"266",2000,8000,0.01,1.375,0,0,0,0,1e-04
"267",2000,8000,0.01,1.5,0,0,0,0,1e-04
"268",2000,8000,0.01,1.75,0,0,0,0,1e-04
"269",2000,8000,0.01,2,0,0,0,0,1e-04
"270",2000,8000,0.01,3,0,0,0,0,1e-04
"271",2000,8000,0.01,4,1,1,1,1,1e-04
"272",2000,8000,0.01,5,1,1,1,1,1e-04
"273",2000,8000,0.05,0.125,1,1,1,1,1e-04
"274",2000,8000,0.05,0.25,1,1,1,1,1e-04
"275",2000,8000,0.05,0.375,0,0,0,0,1e-04
"276",2000,8000,0.05,0.5,1,1,1,0,1e-04
"277",2000,8000,0.05,0.625,0,0,0,1,1e-04
"278",2000,8000,0.05,0.75,0,0,0,0,1e-04
"279",2000,8000,0.05,0.875,0,0,0,0,1e-04
"280",2000,8000,0.05,1,0,0,0,0,1e-04
"281",2000,8000,0.05,1.125,0,1,1,0,1e-04
"282",2000,8000,0.05,1.25,0,0,0,0,1e-04
"283",2000,8000,0.05,1.375,0,0,0,0,1e-04
"284",2000,8000,0.05,1.5,0,0,0,0,1e-04
"285",2000,8000,0.05,1.75,1,1,1,1,1e-04
"286",2000,8000,0.05,2,1,1,1,0,1e-04
"287",2000,8000,0.05,3,1,1,1,1,1e-04
"288",2000,8000,0.05,4,1,1,1,1,1e-04
"289",2000,8000,0.05,5,1,1,1,1,1e-04
"290",2000,8000,0.1,0.125,1,1,1,1,1e-04
"291",2000,8000,0.1,0.25,0,0,0,0,1e-04
"292",2000,8000,0.1,0.375,0,0,0,0,1e-04
"293",2000,8000,0.1,0.5,1,1,1,1,1e-04
"294",2000,8000,0.1,0.625,1,1,1,1,1e-04
"295",2000,8000,0.1,0.75,0,0,0,0,1e-04
"296",2000,8000,0.1,0.875,0,0,0,0,1e-04
"297",2000,8000,0.1,1,0,0,0,0,1e-04
"298",2000,8000,0.1,1.125,1,1,1,1,1e-04
"299",2000,8000,0.1,1.25,1,1,1,0,1e-04
"300",2000,8000,0.1,1.375,0,0,0,0,1e-04
"301",2000,8000,0.1,1.5,0,0,0,0,1e-04
"302",2000,8000,0.1,1.75,1,1,1,1,1e-04
"303",2000,8000,0.1,2,1,1,1,1,1e-04
"304",2000,8000,0.1,3,1,1,1,1,1e-04
"305",2000,8000,0.1,4,1,1,1,1,1e-04
"306",2000,8000,0.1,5,1,1,1,1,1e-04
"307",2000,8000,0.2,0.125,1,1,1,1,1e-04
"308",2000,8000,0.2,0.25,1,1,1,1,1e-04
"309",2000,8000,0.2,0.375,1,1,1,1,1e-04
"310",2000,8000,0.2,0.5,1,1,1,0,1e-04
"311",2000,8000,0.2,0.625,1,1,1,1,1e-04
"312",2000,8000,0.2,0.75,1,1,1,1,1e-04
"313",2000,8000,0.2,0.875,0,0,0,0,1e-04
"314",2000,8000,0.2,1,0,0,0,0,1e-04
"315",2000,8000,0.2,1.125,0,0,0,0,1e-04
"316",2000,8000,0.2,1.25,0,0,0,0,1e-04
"317",2000,8000,0.2,1.375,1,1,1,1,1e-04
"318",2000,8000,0.2,1.5,1,1,1,1,1e-04
"319",2000,8000,0.2,1.75,1,1,1,1,1e-04
"320",2000,8000,0.2,2,1,1,1,1,1e-04
"321",2000,8000,0.2,3,1,1,1,1,1e-04
"322",2000,8000,0.2,4,1,1,1,1,1e-04
"323",2000,8000,0.2,5,1,1,1,1,1e-04
"324",2000,8000,0.5,0.125,1,1,1,1,1e-04
"325",2000,8000,0.5,0.25,1,1,1,1,1e-04
"326",2000,8000,0.5,0.375,1,1,1,1,1e-04
"327",2000,8000,0.5,0.5,1,1,1,1,1e-04
"328",2000,8000,0.5,0.625,1,1,1,1,1e-04
"329",2000,8000,0.5,0.75,1,1,1,1,1e-04
"330",2000,8000,0.5,0.875,0,0,0,0,1e-04
"331",2000,8000,0.5,1,0,0,0,0,1e-04
"332",2000,8000,0.5,1.125,0,0,0,0,1e-04
"333",2000,8000,0.5,1.25,1,1,1,1,1e-04
"334",2000,8000,0.5,1.375,1,1,1,1,1e-04
"335",2000,8000,0.5,1.5,1,1,1,1,1e-04
"336",2000,8000,0.5,1.75,1,1,1,1,1e-04
"337",2000,8000,0.5,2,1,1,1,1,1e-04
"338",2000,8000,0.5,3,1,1,1,1,1e-04
"339",2000,8000,0.5,4,1,1,1,1,1e-04
"340",2000,8000,0.5,5,1,1,1,1,1e-04
"341",1000,9000,0.01,0.125,0,0,0,0,1e-04
"342",1000,9000,0.01,0.25,0,0,0,0,1e-04
"343",1000,9000,0.01,0.375,1,0,0,1,1e-04
"344",1000,9000,0.01,0.5,0,0,0,0,1e-04
"345",1000,9000,0.01,0.625,0,0,0,0,1e-04
"346",1000,9000,0.01,0.75,0,0,0,0,1e-04
"347",1000,9000,0.01,0.875,1,1,1,1,1e-04
"348",1000,9000,0.01,1,0,0,0,0,1e-04
"349",1000,9000,0.01,1.125,0,0,0,0,1e-04
"350",1000,9000,0.01,1.25,0,0,0,0,1e-04
"351",1000,9000,0.01,1.375,0,0,0,0,1e-04
"352",1000,9000,0.01,1.5,0,0,0,0,1e-04
"353",1000,9000,0.01,1.75,0,0,0,0,1e-04
"354",1000,9000,0.01,2,0,0,0,0,1e-04
